"","nuclearReactor","nuclearReactorLabel","Capacity","StatusLabel","GeoCoordinates","CountryLabel"
"1","http://www.wikidata.org/entity/Q1561460","José Cabrera Nuclear Power Station",160,"decommissioned","Point(-2.884444 40.349167)","Spain"
"2","http://www.wikidata.org/entity/Q1595271","Berkeley nuclear power station",276,"decommissioned","Point(-2.49361 51.6925)","United Kingdom"
"3","http://www.wikidata.org/entity/Q1623116","Tsuruga Nuclear Power Plant",1160,"in use","Point(136.02083333 35.75222222)","Japan"
"4","http://www.wikidata.org/entity/Q1626301","Enrico Fermi Nuclear Power Plant",260,"decommissioned","Point(8.277555555 45.184166666)","Italy"
"5","http://www.wikidata.org/entity/Q1630042","Akkuyu Nuclear Power Plant",4800,"building or structure under construction","Point(33.54111111 36.14444444)","Turkey"
"6","http://www.wikidata.org/entity/Q1642138","Jaitapur Nuclear Power Project",9900,"proposed building or structure","Point(73.325 16.58333333)","India"
"7","http://www.wikidata.org/entity/Q1695264","Santa María de Garoña Nuclear Power Plant",466,"decommissioned","Point(-3.20833333 42.775)","Spain"
"8","http://www.wikidata.org/entity/Q1715858","Cofrentes Nuclear Power Plant",1064,"in use","Point(-1.05 39.21666667)","Spain"
"9","http://www.wikidata.org/entity/Q1724901","Garigliano Nuclear Power Plant",150,"decommissioned","Point(13.83472222 41.25833333)","Italy"
"10","http://www.wikidata.org/entity/Q1735581","Chinon Nuclear Power Plant",3620,"in use","Point(0.17055556 47.23055556)","France"
"11","http://www.wikidata.org/entity/Q1739359","Beloyarsk Nuclear Power Station",1485,"in use","Point(61.31666667 56.85)","Russia"
"12","http://www.wikidata.org/entity/Q1739370","Caorso Nuclear Power Plant",860,"decommissioned","Point(9.87222222 45.07222222)","Italy"
"13","http://www.wikidata.org/entity/Q1739385","Crystal River 3 Nuclear Power Plant",860,"decommissioned","Point(-82.6983 28.9575)","United States of America"
"14","http://www.wikidata.org/entity/Q1739389","Superphénix",1200,"decommissioned","Point(5.47222222 45.75833333)","France"
"15","http://www.wikidata.org/entity/Q1739396","Elk River Station",191.3,"decommissioned","Point(-93.5567 45.2952)","United States of America"
"16","http://www.wikidata.org/entity/Q1739400","Fort Calhoun Nuclear Generating Station",502,"decommissioned","Point(-96.0772 41.5203)","United States of America"
"17","http://www.wikidata.org/entity/Q1739403","Q1739403",1301,"cancelled","Point(7.9729 51.6773)","Germany"
"18","http://www.wikidata.org/entity/Q1739422","Kaliningrad Nuclear Power Plant",2340,"building or structure under construction","Point(22.166276 54.940619)","Russia"
"19","http://www.wikidata.org/entity/Q1739448","Novovoronezh Nuclear Power Plant",2597,"in use","Point(39.2 51.275)","Russia"
"20","http://www.wikidata.org/entity/Q1739453","Obninsk Nuclear Power Plant",5,"decommissioned","Point(36.571388888 55.083888888)","Russia"
"21","http://www.wikidata.org/entity/Q1739455","Pickering Nuclear Generating Station",3100,"in use","Point(-79.0658 43.8117)","Canada"
"22","http://www.wikidata.org/entity/Q1739490","Vermont Yankee Nuclear Power Plant",563.4,"decommissioned","Point(-72.5131 42.7789)","United States of America"
"23","http://www.wikidata.org/entity/Q1739500","Wylfa Nuclear Power Station",1190,"decommissioned","Point(-4.48333 53.4167)","United Kingdom"
"24","http://www.wikidata.org/entity/Q1765322","Hinkley Point A nuclear power station",500,"decommissioned","Point(-3.133743 51.208739)","United Kingdom"
"25","http://www.wikidata.org/entity/Q2639309","Belarusian nuclear power plant",1110,"in use","Point(26.0927793 54.7610424)","Belarus"
"26","http://www.wikidata.org/entity/Q2944609","Pathfinder Nuclear Generating Station",59,"decommissioned","Point(-96.6375 43.6036)","United States of America"
"27","http://www.wikidata.org/entity/Q3367024","Namie-Odaka Nuclear Power Plant",825,"cancelled","Point(141.03419444 37.51338889)","Japan"
"28","http://www.wikidata.org/entity/Q3664612","Kola Nuclear Power Plant II",2600,"proposed building or structure","Point(32.466667 67.466667)","Russia"
"29","http://www.wikidata.org/entity/Q838816","Fukushima Daini Nuclear Power Plant",4400,"decommissioned","Point(141.02111 37.31944)","Japan"
"30","http://www.wikidata.org/entity/Q847687","Ignalina Nuclear Power Plant",2600,"decommissioned","Point(26.56 55.604444)","Lithuania"
"31","http://www.wikidata.org/entity/Q862589","Three Mile Island Nuclear Generating Station",819,"decommissioned","Point(-76.724911 40.152047)","United States of America"
"32","http://www.wikidata.org/entity/Q862589","Three Mile Island Nuclear Generating Station",980.8,"decommissioned","Point(-76.724911 40.152047)","United States of America"
"33","http://www.wikidata.org/entity/Q928750","Duane Arnold Energy Center",601,"decommissioned","Point(-91.7772 42.1006)","United States of America"
"34","http://www.wikidata.org/entity/Q928750","Duane Arnold Energy Center",679.5,"decommissioned","Point(-91.7772 42.1006)","United States of America"
"35","http://www.wikidata.org/entity/Q935091","Ōma Nuclear Power Plant",1383,"building or structure under construction","Point(140.91027778 41.50972222)","Japan"
"36","http://www.wikidata.org/entity/Q948689","Nuclear Power Demonstration",19.5,"decommissioned","Point(-77.6578 46.1867)","Canada"
"37","http://www.wikidata.org/entity/Q1111040","Gentilly Nuclear Generating Station",675,"decommissioned","Point(-72.3569 46.3958)","Canada"
"38","http://www.wikidata.org/entity/Q1233845","Rancho Seco Nuclear Generating Station",918,"decommissioned","Point(-121.122 38.3453)","United States of America"
"39","http://www.wikidata.org/entity/Q1331046","Monju Nuclear Power Plant",280,"decommissioned","Point(135.98805556 35.74027778)","Japan"
"40","http://www.wikidata.org/entity/Q1466274","Dungeness Nuclear Power Station",1040,"decommissioned","Point(0.963889 50.9139)","United Kingdom"
